	sub	emotion	tk	intensity	score
367	13	disgust	Matsumoto2008	1	0.5351307189542484
368	13	fear	Matsumoto2008	1	0.6453867660764212
369	13	happy	Matsumoto2008	1	0.6895966248199219
370	13	sadness	Matsumoto2008	1	0.5588812229437229
371	13	surprise	Matsumoto2008	1	0.7568948412698412
372	13	anger	Keltner2019	1	0.4758447488584475
373	13	disgust	Keltner2019	1	0.46323529411764713
374	13	fear	Keltner2019	1	0.559296365330848
375	13	happy	Keltner2019	1	0.6425190368388557
376	13	sadness	Keltner2019	1	0.5146442099567099
377	13	surprise	Keltner2019	1	0.7504464285714286
378	13	anger	Cordaro2008ref	1	0.541689497716895
379	13	disgust	Cordaro2008ref	1	0.5657096171802054
380	13	fear	Cordaro2008ref	1	0.5407152842497671
381	13	happy	Cordaro2008ref	1	0.6354702613706524
382	13	sadness	Cordaro2008ref	1	0.5040584415584416
383	13	surprise	Cordaro2008ref	1	0.7390376984126984
384	13	anger	Ekman	1	0.5708675799086756
385	13	disgust	Ekman	1	0.4275210084033614
386	13	fear	Ekman	1	0.6264561975768872
387	13	happy	Ekman	1	0.6750360156410783
388	13	sadness	Ekman	1	0.537303841991342
389	13	surprise	Ekman	1	0.7039186507936507
390	14	anger	Darwin	1	0.5458602646968298
391	14	disgust	Darwin	1	0.641548984995587
392	14	fear	Darwin	1	0.6993632504548212
393	14	happy	Darwin	1	0.5978223691711321
394	14	sadness	Darwin	1	0.6332465277777777
395	14	surprise	Darwin	1	0.7881313131313131
396	14	anger	Matsumoto2008	1	0.6384528572894225
397	14	disgust	Matsumoto2008	1	0.5927846425419241
398	14	fear	Matsumoto2008	1	0.5811855670103093
399	14	happy	Matsumoto2008	1	0.6336221639493786
400	14	sadness	Matsumoto2008	1	0.5632957175925926
401	14	surprise	Matsumoto2008	1	0.7971380471380471
402	14	anger	Keltner2019	1	0.5331896993946856
403	14	disgust	Keltner2019	1	0.5186451897616946
404	14	fear	Keltner2019	1	0.4916616130988478
405	14	happy	Keltner2019	1	0.5517044806749516
406	14	sadness	Keltner2019	1	0.5487557870370371
407	14	surprise	Keltner2019	1	0.743013468013468
408	14	anger	Cordaro2008ref	1	0.6189083820662769
409	14	disgust	Cordaro2008ref	1	0.53045013239188
410	14	fear	Cordaro2008ref	1	0.4692995755003032
411	14	happy	Cordaro2008ref	1	0.6149811880059287
412	14	sadness	Cordaro2008ref	1	0.4040075231481481
413	14	surprise	Cordaro2008ref	1	0.7728114478114478
414	14	anger	Ekman	1	0.6370165179029444
415	14	disgust	Ekman	1	0.546116504854369
416	14	fear	Ekman	1	0.6071861734384476
417	14	happy	Ekman	1	0.6419450461748946
418	14	sadness	Ekman	1	0.5286458333333334
419	14	surprise	Ekman	1	0.7308922558922558
420	15	anger	Darwin	1	0.41530612244897963
421	15	disgust	Darwin	1	0.6120095693779904
422	15	fear	Darwin	1	0.5454174093879975
423	15	happy	Darwin	1	0.5606698564593302
424	15	sadness	Darwin	1	0.5752139565503621
425	15	surprise	Darwin	1	0.7940011318619129
426	15	anger	Matsumoto2008	1	0.607871720116618
427	15	disgust	Matsumoto2008	1	0.5893301435406699
428	15	fear	Matsumoto2008	1	0.45280005941770646
429	15	happy	Matsumoto2008	1	0.5881339712918661
430	15	sadness	Matsumoto2008	1	0.5849242922975643
431	15	surprise	Matsumoto2008	1	0.8527164685908318
432	15	anger	Keltner2019	1	0.2862973760932945
433	15	disgust	Keltner2019	1	0.4974162679425837
434	15	fear	Keltner2019	1	0.45254010695187175
435	15	happy	Keltner2019	1	0.55622009569378
436	15	sadness	Keltner2019	1	0.565393899495282
437	15	surprise	Keltner2019	1	0.8420345217883419
438	15	anger	Cordaro2008ref	1	0.597667638483965
439	15	disgust	Cordaro2008ref	1	0.5524401913875598
440	15	fear	Cordaro2008ref	1	0.4619726678550208
441	15	happy	Cordaro2008ref	1	0.567177033492823
442	15	sadness	Cordaro2008ref	1	0.4765196401141102
443	15	surprise	Cordaro2008ref	1	0.7476655348047538
444	15	anger	Ekman	1	0.5998542274052479
445	15	disgust	Ekman	1	0.5049282296650718
446	15	fear	Ekman	1	0.4659090909090909
447	15	happy	Ekman	1	0.5929186602870813
448	15	sadness	Ekman	1	0.5173908272986614
449	15	surprise	Ekman	1	0.7127192982456141
450	16	anger	Darwin	1	0.6058500323206206
451	16	disgust	Darwin	1	0.5572926025756215
452	16	fear	Darwin	1	0.4433481152993348
453	16	happy	Darwin	1	0.6431472868217054
454	16	sadness	Darwin	1	0.5487775710868987
455	16	surprise	Darwin	1	0.6984654234654235
456	16	anger	Matsumoto2008	1	0.6295922215039863
